[6396:19704:0418/230540.514:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[8148:13888:0418/235000.897:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #98).
[8148:13888:0418/235000.911:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #98).
[8148:13888:0418/235000.923:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #98).
[8148:13888:0418/235000.954:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #98).
[8148:13888:0418/235000.965:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #98).
[8148:13888:0418/235000.988:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #98).
[8148:13888:0418/235001.001:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #98).
[8148:13888:0418/235001.016:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #98).
[8148:13888:0418/235001.031:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #98).
[8148:13888:0418/235001.100:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #101).
[8148:13888:0418/235001.115:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #101).
[8148:13888:0418/235003.221:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #112).
[8148:13888:0418/235003.235:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #112).
[8148:13888:0418/235003.252:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #112).
[8148:13888:0418/235003.268:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #112).
[8148:13888:0418/235003.284:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #112).
[8148:13888:0418/235003.298:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #112).
[8148:13888:0418/235003.321:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #112).
[8148:13888:0418/235003.321:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #112).
[8148:13888:0418/235003.345:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #112).
[8148:13888:0418/235003.360:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #112).
